"edcode","data_cut_off_date","original_underlying_exposure_identifier","format","spv_country","deal_vintage","unique_identifier","original_obligor_identifier","redemption_date","geographic_region_obligor","customer_type","nace_industry_code","obligor_basel_iii_segment","enterprise_size","revenue","total_debt","ebitda","free_cashflow","date_of_financials","debt_type","seniority","syndicated","origination_date","maturity_date","purpose","original_principal_balance","current_principal_balance","total_credit_limit","amortisation_type","principal_grace_period_end_date","scheduled_principal_payment_frequency","scheduled_interest_payment_frequency","payment_due","payment_due_interest","balloon_amount","interest_rate_type","current_interest_rate","current_interest_rate_index","current_interest_rate_margin","interest_rate_reset_interval","interest_rate_cap","interest_rate_floor","revision_margin_1","interest_revision_date_1","revision_margin_2","interest_revision_date_2","revision_margin_3","interest_revision_date_3","revised_interest_rate_index","arrears_balance","number_of_days_in_arrears","number_of_days_in_arrears_interest","reason_for_default_or_foreclosure","default_amount","default_date","allocated_losses","cumulative_recoveries","recovery_source","deposit_amount","percentage_of_prepayments_allowed_per_year","date_last_in_arrears","date_of_repurchase","date_of_restructuring","pool_addition_date","prepayment_date","prepayment_fee_end_date","prepayment_lockout_end_date","cumulative_prepayments","enterprise_value","market_value","prepayment_fee","prior_principal_balance","number_of_payments_before_securitisation","purchase_price","account_status","credit_impaired_obligor","current_interest_rate_tenor","geographic_region_classification","international_securities_identification_number","leveraged_transaction","managed_by_clo","new_obligor_identifier","new_underlying_exposure_identifier","original_lender_establishment_country","original_lender_legal_entity_identifier","origination_channel","originator_establishment_country","originator_legal_entity","payment_in_kind","recourse","revised_interest_rate_tenor","securitised_receivables","special_scheme","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","033-620-0090789","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","28395","","ITH42","ENEO","F43.2.1","RETL","MICE","130000","45000","13000","-10000","12/31/2021","LOLE","","","2/15/2017","4/30/2028","EQPI","40000","21827.1","","FRXX","6/30/2021","MNTH","MNTH","460.05","","","FLFL","6.1999998092651","EURI","3","1","","3","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","2/16/2017","0","194000","","","","32","100","PERF","1","SEMI","2016","","","","28395","033-620-0090789","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","044-620-0090297","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","451893","","ITH42","ENEO","S96.0.2","RETL","","","","","","","LOLE","","","1/1/2016","4/30/2030","OTHR","32162.26","20499.53","","FRXX","6/30/2021","MNTH","MNTH","337.35","","","FLFL","6.5","EURI","3.2999999523163","1","","3.3","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","1/2/2016","0","","","","","45","100","PERF","1","SEMI","2016","","","","451893","044-620-0090297","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","049-610-0104417","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","160017","","ITH41","ENEO","C13.9.9","RETL","MICE","214000","30000","25000","-39000","12/31/2021","LOLE","","","6/7/2018","4/30/2025","OTHR","50000","14473.36","","FRXX","12/31/2021","MNTH","MNTH","654.54","","","FLIF","5.6500000953674","EURI","2.9500000476837","1","","","","","","","","","","0","0","","UPXX","21142.14","3/7/2022","0","0","","0","100","","","9/15/2021","10/9/2019","12/20/2018","","6/8/2018","15000","256000","","150","","16","100","DFLT","1","QUTR","2016","","","","160017","049-610-0104417","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","056-610-0102732","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","321193","","ITH41","ENEO","G46.6.6","RETL","NATP","409000","0","55000","-39000","12/31/2012","LOLE","","","2/26/2018","8/31/2023","OTHR","35000","2592.5","","FRXX","6/30/2021","MNTH","MNTH","532.43","","","FLIF","6.1999998092651","EURI","3.5","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","12/19/2019","10/9/2019","","","2/27/2018","0","105000","","","","19","100","RNAR","1","QUTR","2016","","","","321193","056-610-0102732","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","102-610-0111593","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","169786","","ITH41","ENEO","I56.1.0","RETL","","","","","","","LOLE","","","5/20/2019","9/30/2024","OTHR","20000","8319.85","","FRXX","6/30/2021","MNTH","MNTH","500.22","","","FLIF","7.1999998092651","EURI","4.5","1","","","","","","","","","","0","0","","UPXX","12481.85","4/1/2022","0","0","","0","100","3/31/2023","","","10/9/2019","","","5/21/2019","0","","","","","5","100","DFLT","1","QUTR","2016","","","","169786","102-610-0111593","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","004-645-0061535","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","357717","","ITH44","ENEO","A1.4.9","RETL","","","","","","","LOLE","","","11/24/2006","12/31/2026","EQPI","130000","36001.72","","FRXX","12/31/2006","QUTR","QUTR","2497.72","","","FLIF","3.5999999046326","EURI","1","3","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","11/25/2006","0","","","","","52","100","PERF","1","SEMI","2016","","","","357717","004-645-0061535","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","015-645-0070170","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","299074","","ITH42","ENEO","A1.1.3","SMEX","","","","","","","LOLE","","","3/2/2011","3/31/2031","OTHR","45000","21989.62","","FRXX","3/31/2011","MNTH","MNTH","299.75","","","FLIF","5.4499998092651","EURI","2.25","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","3/3/2011","0","","","","","102","100","PERF","1","SEMI","2016","","","","299074","015-645-0070170","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","019-610-0106707","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","155730","","ITH42","ENEO","I56.3.0","RETL","","","","","","","LOLE","","","9/21/2018","1/31/2025","OTHR","18000","7290.16","","FRXX","6/30/2021","MNTH","MNTH","363.4","","","FLIF","6.6500000953674","EURI","3.9500000476837","1","","","","","","","","","","363.4","0","","","0","","0","0","","0","100","3/31/2023","","","10/9/2019","","","9/22/2018","0","","","","","13","100","PERF","1","QUTR","2016","","","","155730","019-610-0106707","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","027-610-0110728","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","52144","","ITH42","ENEO","A2.2.0","RETL","","","","","","","LOLE","","","4/4/2019","10/31/2026","OTHR","60000","32298.75","","FRXX","9/30/2020","MNTH","MNTH","879.4","","","FLIF","5.3499999046326","EURI","2.6500000953674","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","4/5/2019","0","","","","","6","100","PERF","1","QUTR","2016","","","","52144","027-610-0110728","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","032-620-0090368","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","303259","","ITH42","ENEO","I56.3.0","RETL","MICE","675000","135000","115000","11000","12/31/2022","LOLE","","","11/23/2015","3/31/2027","OTHR","210000","93704.8","","FRXX","6/30/2021","MNTH","MNTH","2457.06","","","FLFL","6.9499998092651","EURI","3.75","1","","3.75","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","11/24/2015","0","475000","","","","47","100","PERF","1","SEMI","2016","","","","380142","032-620-0090368","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
